Actual files generated - Train: 4000, Validation: 999
Total images after generation: 4999
Newly generated images: 0
         71743757 function calls (58335338 primitive calls) in 469.998 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.000    0.000 {built-in method _winapi.CreatePipe}
     14/6    0.099    0.007    0.015    0.003 {built-in method _winapi.CreateProcess}
    98/88    0.000    0.000    0.000    0.000 {built-in method _winapi.DuplicateHandle}
       98    0.000    0.000    0.000    0.000 {built-in method _winapi.GetCurrentProcess}
       14    0.000    0.000    0.000    0.000 {built-in method _winapi.GetExitCodeProcess}
    56/43    0.001    0.000    0.001    0.000 {built-in method _winapi.OpenProcess}
  152/151    0.003    0.000    0.003    0.000 {built-in method _winapi.PeekNamedPipe}
  362/361    0.015    0.000    1.313    0.004 {built-in method _winapi.ReadFile}
        6    0.000    0.000    0.000    0.000 {built-in method _winapi.SetNamedPipeHandleState}
   237/88   17.782    0.075   10.415    0.118 {built-in method _winapi.WaitForMultipleObjects}
      121    0.716    0.006    0.716    0.006 {built-in method _winapi.WaitForSingleObject}
  116/110    0.002    0.000    0.156    0.001 {built-in method _winapi.WriteFile}
       59    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
      452    0.001    0.000    0.015    0.000 {built-in method builtins.any}
      266    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
      2/1    0.000    0.000  469.998  469.998 {built-in method builtins.exec}
     1222    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      570    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
   609487    0.117    0.000    0.117    0.000 {built-in method builtins.id}
 10945874    1.578    0.000    1.578    0.000 {built-in method builtins.isinstance}
     1526    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      215    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       52    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       50    0.000    0.000    0.000    0.000 {built-in method builtins.next}
     1134    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        6    0.002    0.000    0.002    0.000 {built-in method builtins.print}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      166    0.004    0.000    0.013    0.000 {built-in method builtins.sum}
        2    0.000    0.000    0.000    0.000 {built-in method fromtimestamp}
       50    7.957    0.159    7.957    0.159 {built-in method gc.collect}
       96    0.000    0.000    0.000    0.000 {built-in method math.floor}
       14    0.000    0.000    0.000    0.000 {built-in method msvcrt.open_osfhandle}
       52    0.000    0.000    0.000    0.000 {built-in method now}
        7    0.001    0.000    0.001    0.000 {built-in method nt._path_exists}
        3    0.000    0.000    0.000    0.000 {built-in method nt._path_isdir}
       14    0.000    0.000    0.000    0.000 {built-in method nt._path_normpath}
        1    0.000    0.000    0.000    0.000 {built-in method nt.cpu_count}
      109    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       14    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
      196    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
        6    0.009    0.001    0.009    0.001 {built-in method nt.listdir}
        6    0.000    0.000    0.000    0.000 {built-in method nt.lstat}
        3    0.000    0.000    0.000    0.000 {built-in method nt.mkdir}
        2    0.000    0.000    0.000    0.000 {built-in method sys.audit}
